label,strategy,unroll,H,W,C,K,R,S,stride,padding,TH,TW,TC,TK,OH,OW,dram_loads,dram_stores,sram_input_bytes,sram_weight_bytes,sram_psum_bytes,max_PE,sram_input_reads,sram_weight_reads,ps_buffer_reads,ps_buffer_writes,total_cycles
"Case 1 (WS, small tile)",WS,TK,128,128,1024,64,3,3,1,1,8,8,64,32,128,128,4128,512,25600,73728,8192,32,301989888,9663676416,9646899200,9663676416,301989888
"Case 2 (IS, small tile)",IS,TK,128,128,1024,64,3,3,1,1,8,8,64,32,128,128,4128,512,25600,73728,8192,32,301989888,9663676416,1072693248,1072693248,301989888
"Case 3 (OS, small tile)",OS,TK,128,128,1024,64,3,3,1,1,8,8,64,32,128,128,4128,512,25600,73728,8192,32,301989888,9663676416,15728640,15728640,301989888
"Case 4 (WS, mid tile)",WS,TK,128,128,1024,64,3,3,1,1,16,16,128,32,128,128,528,128,165888,147456,32768,32,301989888,9663676416,9655287808,9663676416,301989888
"Case 5 (IS, mid tile)",IS,TK,128,128,1024,64,3,3,1,1,16,16,128,32,128,128,528,128,165888,147456,32768,32,301989888,9663676416,1072693248,1072693248,301989888
"Case 6 (OS, mid tile)",OS,TK,128,128,1024,64,3,3,1,1,16,16,128,32,128,128,528,128,165888,147456,32768,32,301989888,9663676416,7340032,7340032,301989888
"Case 7 (WS, big tile)",WS,TK,128,128,1024,64,3,3,1,1,32,32,256,64,128,128,68,16,1183744,589824,262144,64,150994944,9663676416,9659482112,9663676416,150994944
"Case 8 (IS, big tile)",IS,TK,128,128,1024,64,3,3,1,1,32,32,256,64,128,128,68,16,1183744,589824,262144,64,150994944,9663676416,1072693248,1072693248,150994944
"Case 9 (OS, big tile)",OS,TK,128,128,1024,64,3,3,1,1,32,32,256,64,128,128,68,16,1183744,589824,262144,64,150994944,9663676416,3145728,3145728,150994944
"Case 10 (WS, spatial focus)",WS,TK,128,128,1024,64,3,3,1,1,4,4,512,64,128,128,2050,1024,73728,1179648,4096,64,150994944,9663676416,9661579264,9663676416,150994944
"Case 11 (IS, spatial focus)",IS,TK,128,128,1024,64,3,3,1,1,4,4,512,64,128,128,2050,1024,73728,1179648,4096,64,150994944,9663676416,1072693248,1072693248,150994944
"Case 12 (OS, spatial focus)",OS,TK,128,128,1024,64,3,3,1,1,4,4,512,64,128,128,2050,1024,73728,1179648,4096,64,150994944,9663676416,1048576,1048576,150994944
"Case 13 (WS, channel focus)",WS,TK,128,128,1024,64,3,3,1,1,64,64,32,16,128,128,256,16,557568,18432,262144,16,603979776,9663676416,9630121984,9663676416,603979776
"Case 14 (IS, channel focus)",IS,TK,128,128,1024,64,3,3,1,1,64,64,32,16,128,128,256,16,557568,18432,262144,16,603979776,9663676416,1072693248,1072693248,603979776
"Case 15 (OS, channel focus)",OS,TK,128,128,1024,64,3,3,1,1,64,64,32,16,128,128,256,16,557568,18432,262144,16,603979776,9663676416,32505856,32505856,603979776
